-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
-6  -5  3
4   3   -2
2   3   2
-3  -5  -4
-6  -2  2
8   -3  5
6   -3  -5
