-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
3   -5  -4  -7  -3  -6  -2  -5  -4  5
-2  2   -3  3   -3  -4  2   -2  2   5
2   3   2   5   2   2   4   -2  -4  4
